,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Japan,total_fuel_combustion,MtCO2eq,756.7845296,794.6875746,904.2770042,892.4074371,856.0455336,882.8049622,907.703845,902.3880058,924.7951439,877.3174193,853.273635,826.8768271,832.9028052,893.753579,873.1731347,873.3734707,878.6300838,944.5628142,972.6272812,1060.214528,1072.241881,1082.148437,1075.217252,1127.680939,1138.293987,1151.757605,1142.404049,1104.58515,1140.145568,1157.48836,1146.022073,1184.611156,1193.512574,1189.241225,1191.317074,1168.083732,1205.022724,1139.875471,1085.605429,1142.444872,1198.854214,1238.368807,1246.410306,1200.629307,1163.532674,1151.732577,1138.807224,1099.798021,1065.846165,1033.210913
21,Korea,total_fuel_combustion,MtCO2eq,54.74788633,56.71730131,70.52663879,73.99735403,80.1252088,89.00428543,101.546572,110.4750821,124.4669789,128.9559905,134.8003306,134.5531955,142.7298341,155.4434693,160.0498592,166.6512144,172.9170884,196.5819379,207.5140765,236.315493,259.863231,279.5686345,306.3030555,330.6141042,360.5355622,384.9794439,405.6619632,346.5422053,381.2569977,435.3294967,449.4488106,439.5650854,441.4765269,463.5787739,461.5489324,468.6995478,481.4932979,493.0170088,506.3924226,555.4302916,578.3659534,580.1274796,579.3412664,567.5349229,587.2141428,594.2563458,605.4454471,611.0874212,590.7204547,575.5798356
22,New Zealand,total_fuel_combustion,MtCO2eq,13.73900835,15.73405944,16.96203808,17.72874327,16.77767514,18.53047146,19.07020941,18.56161786,16.69740768,16.82504977,16.60554367,18.29349769,18.41986458,18.80090911,19.26127732,18.23874665,19.49612028,20.78777379,20.91623822,22.173711,22.48513629,24.23101511,23.85094609,24.17370931,24.25444716,25.34684551,27.60618573,27.16901462,28.57310237,29.44195535,31.60148344,31.51613009,33.42445012,32.92123192,34.23478005,34.31413724,33.12595973,33.99285852,31.00848473,30.95456595,30.21180022,31.98679804,31.72394127,31.77026099,31.97534765,31.06409199,32.883617,32.34277227,34.01523452,33.67932581
23,OECD Asia Oceania,total_fuel_combustion,MtCO2eq,984.9633875,1032.662674,1167.927619,1175.323565,1151.700193,1191.61394,1244.62331,1244.090342,1285.402816,1251.812807,1234.85727,1217.589704,1220.788768,1301.985713,1300.322896,1309.891735,1335.34291,1437.035437,1490.994817,1615.051439,1652.769032,1690.416946,1717.452384,1803.288118,1857.453694,1909.24644,1932.414082,1855.828715,1934.050707,2016.421654,2028.853681,2068.698694,2082.151128,2113.095179,2116.212332,2108.784697,2169.92409,2120.713992,2082.537361,2185.596504,2261.671997,2311.028944,2302.639739,2233.381049,2224.018647,2225.603952,2230.724628,2190.029268,2137.250466,2081.42679
24,Austria,total_fuel_combustion,MtCO2eq,49.58428949,51.38260319,54.86505022,52.11612106,50.45218916,54.92430459,52.28833089,54.6614635,57.03017292,55.46562347,52.71701796,50.99681447,50.60581057,52.25512421,53.98043278,52.97885216,53.74970335,52.04190968,51.95149449,57.61020021,61.91933981,56.97296608,57.15574374,57.50318288,60.92037039,64.71953765,63.81632546,64.42601976,62.82032173,63.15443985,67.60600866,69.03159794,74.15407252,75.45298932,75.93220261,73.70634056,70.70334939,70.20192087,64.23980299,70.08958261,68.28934912,65.15536669,65.84844915,62.07170209,63.26387342,63.68802267,65.8889882,62.91373305,64.68459349,58.91677101
25,Belgium,total_fuel_combustion,MtCO2eq,119.4057764,129.4167071,134.5660485,132.3706322,116.8317721,125.8539251,124.6237266,130.0281494,133.6172814,126.7320986,116.1693521,109.79772,100.9714265,102.931231,102.1086152,102.3861094,102.4055024,104.060866,105.4562652,107.5797985,112.2154486,110.3559856,108.1150113,112.8046749,112.386962,117.5549055,114.5419815,117.2874101,113.4161558,115.0243528,116.4415534,108.8449988,113.5984322,112.210426,108.6844696,106.5484613,102.5619837,105.0298861,98.0278106,105.4032592,94.87218873,93.81759752,95.27800944,88.63566069,93.98658525,93.05378461,91.67764013,92.3716803,91.41929721,84.48700803
26,Czech Republic,total_fuel_combustion,MtCO2eq,156.9573407,155.7373414,152.4102975,151.2878109,157.8892946,162.8428894,172.5588226,168.2508035,178.221926,170.7864016,171.446252,174.0415972,175.362181,178.1603204,178.3377512,178.3942474,179.6230687,176.0988647,168.1601712,152.5031888,139.0024022,133.6214616,130.6993668,124.2979352,124.839844,126.3591553,124.3814511,118.3501449,111.4273172,122.7521051,122.6266279,118.6509613,122.8680168,123.4139182,119.9417269,120.487445,123.2238777,117.9686961,111.3092593,112.5631319,109.2898288,106.3585829,101.632153,97.81694739,99.40562846,101.8838457,101.9852797,100.9151396,96.20951568,86.16165906
27,Denmark,total_fuel_combustion,MtCO2eq,55.95431392,57.9558612,56.80975604,50.53427033,53.16843498,58.87257425,60.50966423,60.1368605,63.71181946,63.7411861,53.54346255,55.74912313,52.371573,54.00961547,61.81234195,62.38442848,60.5946515,56.74254868,50.88306477,51.66893761,62.00506315,56.09963809,58.50344536,62.42947198,59.18574796,72.51219846,62.71869023,58.75278752,55.55774571,51.54949779,53.17167597,52.89304494,58.36801558,52.70220094,49.38506039,57.3831403,52.66870894,49.68602672,47.92630989,48.30330819,43.04249473,38.11146492,39.8509286,35.64277064,33.54318586,34.99448219,32.75713861,32.78590025,29.34004338,26.58664115
28,Estonia,total_fuel_combustion,MtCO2eq,,,,,,,,,,,,,,,,,,,,35.61772775,31.84943296,23.73263252,18.30794277,17.71171747,16.17710453,17.14370935,16.68249268,16.10023231,15.19607766,14.80038338,15.26971755,14.86008294,16.88071021,16.93924369,17.1287671,15.83140873,19.69115288,18.09698338,15.08488921,19.01981483,18.06042917,16.78275745,19.23041761,17.81956149,15.62469562,16.11033237,16.71726575,15.34928377,10.17723879,9.037638747999999
29,Finland,total_fuel_combustion,MtCO2eq,40.81292464,44.61581705,48.91494742,45.17476004,45.053827,51.29752455,50.91056228,55.56133408,55.08026502,55.84115203,46.4975573,45.00281304,43.56472613,44.89760711,49.25081335,49.44072887,53.24166865,52.42273438,52.55127354,55.00025057,55.69841617,52.92601797,54.24083974,60.76726184,56.90812159,63.43429301,61.46131066,58.10872334,57.32471297,55.88450964,61.93573641,64.3735193,72.71678957,68.64954747,56.31608666,67.98022075,66.00128279,57.53085801,55.24741501,63.64129676,56.1009463,50.49604287,51.30517538,47.32710257,43.92938196,46.75330325,44.0649475,45.65012215,41.79297905,37.25063797
30,France,total_fuel_combustion,MtCO2eq,431.6911268,447.0605591,482.9888053,464.6275122,430.9426865,470.9619432,456.6359296,475.9596696,482.6638314,462.7556494,414.4016028,396.8037355,381.4253264,368.913811,359.5390926,349.2319431,342.8310611,340.9466879,356.7528737,352.7001579,378.3472455,367.1437839,348.5031942,342.7262248,350.7948041,366.980699,358.097001,379.7003306,373.6083789,371.512464,375.0842609,369.1490281,375.0693068,375.678157,378.4077416,368.8291515,360.0304457,356.0280901,342.9718431,347.1088614,333.7851182,338.0347419,338.6276699,305.9170615,311.6503864,314.4937068,318.4716607,307.3126886,300.6530984,264.3855874
31,Germany,total_fuel_combustion,MtCO2eq,990.710735,1014.063022,1064.547816,1038.069938,985.0084119,1041.214712,1025.426134,1063.915617,1111.948885,1061.114764,1028.621964,987.1128194,988.2993079,1007.975033,1016.974807,1019.205605,1009.366848,1001.531032,977.1785076,952.0566462,928.6391908,887.5607069,881.6729662,868.5886318,865.8145225,896.5044313,864.5573326,856.421906,824.2167228,821.5012762,840.731514,826.9906389,830.1155455,814.0379861,796.3473715,808.7968014,777.0805413,784.3232912,730.1144646,769.624087,741.4824089,755.8696467,774.5799519,733.2667112,739.8902922,744.5306314,728.8480674,704.4357828,653.8958683,594.6858036
32,Greece,total_fuel_combustion,MtCO2eq,25.47292191,29.38363106,34.19680969,32.69309222,34.54011689,39.31573199,40.70460901,43.18594954,45.43579295,45.72704665,45.21255917,46.51805219,49.73528617,51.45582943,55.14691572,55.0219371,60.53854701,64.56956889,69.51018361,70.76707539,71.02559662,73.25931282,73.16498558,74.77752573,77.45571237,77.37778219,78.36415769,81.78818649,82.07323582,88.99930927,91.1391373,91.38793662,94.98655232,94.62305387,96.3219326,95.27424275,99.14051412,95.51138001,91.30360178,84.45247244,83.22072177,78.05572195,69.81114841,66.68060116,65.51860461,63.99377325,64.02001381,62.49575293,57.49080387,47.3756974
33,Hungary,total_fuel_combustion,MtCO2eq,61.32703686,63.14773003,67.5302123,69.86871591,71.24102595,74.51200811,78.08730683,86.09497219,84.68331209,83.9049613,83.0283531,83.38965124,79.74823204,81.84807484,81.22079276,79.64190367,80.54585324,75.85435639,74.31632268,66.90791519,64.64052468,58.03609294,58.2531115,57.44733371,57.06466377,58.12449379,56.55600602,56.840228690000004,57.40904367,53.97223611,55.63555906,54.89737352,57.5212436,55.77083014,55.62913448,55.09943991,53.46679145,52.67395248,47.9429964,48.2660385,47.52663411,43.95862749,41.45872592,41.16058618,43.87321973,44.70742612,46.80074569,46.57410914,46.39808275,44.64854794
34,Iceland,total_fuel_combustion,MtCO2eq,1.4179362,1.512808039,1.683310376,1.677510918,1.631196085,1.606710101,1.650847263,1.776135531,1.845454035,1.765130158,1.755378403,1.581745169,1.613405531,1.714042715,1.647115078,1.721700002,1.765408133,1.850338077,1.847117046,1.919973005,1.890473931,1.923833261,1.969003679,2.079623114,1.988859317,2.253597723,2.133316339,2.125771605,2.080659651,2.187550811,2.131769594,2.232434171,2.221192026,2.297432454,2.263082565,2.303544916,2.352346548,2.152158438,2.109820134,1.977612333,1.896226278,1.887055661,2.061304533,2.076420971,2.08997324,1.66071401,1.703592713,1.72795369,1.667405983,1.499976582
35,Ireland,total_fuel_combustion,MtCO2eq,22.16772991,21.90107592,21.28922246,23.12977054,21.6413846,22.38749764,24.04750831,23.71075226,27.66896619,26.46396903,26.31747045,25.9028368,25.77407515,25.49553986,27.0852419,28.13080085,29.74822523,28.72444332,29.86740585,30.79436606,31.36741383,31.37739468,31.53803902,32.53622388,33.12364785,34.4076947,35.37199184,37.95338702,39.35722499,41.40203825,43.5449732,42.64623731,42.53014554,42.97611409,44.90943624,45.54808611,44.61341259,44.30396028,39.84070667,39.66180216,36.24867176,36.48597225,35.14242109,34.60263064,35.94702426,37.57652594,36.48386415,36.30154636,34.38049003,32.09989119
36,Italy,total_fuel_combustion,MtCO2eq,291.9216053,309.1477,330.7750328,334.3294089,319.8918226,344.9043369,335.4758355,341.2104757,357.1234794,358.6055391,349.1530953,344.355237,339.5453815,345.2219876,345.299155,346.6188828,366.1645964,370.3090291,388.3045282,393.0369844,392.1055989,389.7498494,386.772484,382.4736361,405.2217621,402.2775007,405.4699579,416.1080605,422.034453,424.7456544,424.5599669,431.8843759,450.5143504,459.9099345,461.8488692,454.833242,447.695874,435.4971986,390.1498693,398.3760391,389.5793243,372.7170528,343.5110058,324.7493473,335.5025662,331.3091564,327.2451733,322.7964317,314.9807062,285.6745484
37,Latvia,total_fuel_combustion,MtCO2eq,,,,,,,,,,,,,,,,,,,,19.24116499,17.70084964,14.28239875,12.19187101,10.58745886,9.338627554,9.347886847,8.848600791,8.440627704,7.81344084,7.226023184,7.67267986,7.653529157,7.905578133,7.934750601,8.040077316,8.488985426,8.828760788,8.376389489,7.649702841,8.48850456,7.742114174,7.420399933,7.310155993,7.123426993,7.208589884,7.155295873,7.066531062,7.638784712,7.398568116,6.758904596
38,Lithuania,total_fuel_combustion,MtCO2eq,,,,,,,,,,,,,,,,,,,,32.6991824,34.79944366,19.5427334,15.70213735,14.74165396,13.74362206,14.25277244,13.90117071,14.64950983,12.2431396,10.5557252,11.2149317,11.28330827,11.29884629,11.93249786,12.82492284,12.90315349,13.10175986,13.0397154,11.81304596,12.72184632,11.92565842,11.94076639,11.27406458,10.86886302,10.96168269,11.16855453,11.20154982,11.58602484,11.58648879,11.23112699
39,Luxembourg,total_fuel_combustion,MtCO2eq,16.52855001,16.1769988,17.51020518,16.07607164,12.80028385,13.70749389,13.02373534,14.23879407,13.34152034,12.53030552,10.61814084,9.962747394,9.315036824,10.1826464,10.41487477,10.09457719,9.503039586,9.950099377,10.72362826,10.83624562,11.34523003,11.03274073,11.33035975,10.43977315,8.333008935,8.418491545,7.914153138,7.23782047,7.579455992,8.201633193,8.832356322,9.518870301,10.00523429,11.40226299,11.66730805,11.46796234,10.87457866,10.81192889,10.24438573,10.82958888,10.68477482,10.4775861,9.945953838,9.452009898,8.963845347,8.660514596,8.794329043,9.127618881,9.276632075,7.647428091
40,Netherlands,total_fuel_combustion,MtCO2eq,128.6655667,143.524891,149.4577867,141.04714,132.88492,141.7339991,139.526022,144.057698,154.2312939,146.4691412,144.3022857,135.9072311,131.4549931,136.2606019,139.3578596,142.4547932,146.3876329,144.3014983,147.3925019,148.9170294,154.9631998,153.7662979,158.7480816,157.8953188,164.8327556,174.5387544,167.1937152,167.5973351,162.2302989,162.9466572,167.9506475,168.2838939,171.3145531,173.0768092,168.9206211,164.7201356,165.6291754,166.3613829,161.6202167,172.3138063,159.9623503,158.6866146,158.2914463,150.9559486,158.6410709,159.7836261,156.9651867,152.6892187,147.9059738,136.3490239
41,Norway,total_fuel_combustion,MtCO2eq,23.27847745,23.82862933,23.63482589,22.95497311,23.87867085,25.72797259,26.98746292,27.49430323,29.25568738,27.69073579,25.91834223,24.77093797,24.86135664,25.53146137,26.91223298,30.23923377,28.11438313,28.26384064,27.62091428,28.02714702,26.48633668,29.39420406,31.09493987,32.70625866,31.99759344,32.96152434,34.72311454,36.38827345,37.85931458,32.48728617,33.51288815,33.15839983,35.74294431,36.25016773,35.18001578,36.14476906,36.71056388,35.99906991,36.37670374,40.71955299,38.87301992,37.78898482,38.53206926,38.27881836,38.71606454,37.97669826,37.17160498,37.13538926,35.50407377,36.76650219
42,Poland,total_fuel_combustion,MtCO2eq,292.3211754,304.6072708,317.9339544,330.5828461,344.5504431,368.6063511,381.1530562,406.6025909,412.5739288,422.8452146,392.3811782,398.8706675,400.5749878,416.2617032,429.3998933,435.6301918,451.6442783,440.660799,420.7947776,349.5557852,351.7959258,343.4767712,345.8260874,339.5771231,339.7977576,355.8099306,344.0839804,317.5394571,308.3093648,294.3254689,293.599082,287.6301956,298.1839923,301.9743837,301.7397657,314.0167182,311.9955021,307.5806167,297.583167,314.255436,309.6318158,303.4568268,298.7418817,285.2253644,288.6874395,299.4468527,312.2343375,310.5513839,293.2526601,273.338777
