Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,CAIT,Industrial Processes ,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,CAIT,Agriculture ,N2O,2.708373,2.7896674,2.7381134,2.770655,2.5960866,2.7079856,2.9383992,3.242389,3.5325218,3.803225,3.2738578,2.8610682,3.3344114,3.463505,3.4272086,3.5753444,3.4028918,3.3244582,3.5979626,3.863868,4.2738564,4.3690078,4.3985098,4.4401106,4.7442494,4.2636052,4.6845004,4.8956632,4.2963256
AFG,CAIT,Waste ,N2O,0.136139142,0.143600962,0.151062781,0.1585246,0.16598642,0.173448239,0.17950595,0.18556366,0.191621371,0.197679081,0.203736792,0.212535598,0.221334404,0.23013321,0.238932017,0.247730823,0.259169609,0.270608396,0.282047182,0.293485969,0.304924755,0.314880992,0.324837229,0.334793466,0.344749704,0.354705941,0.363246713,0.371787485,0.380328257
AFG,CAIT,Land-Use Change and Forestry ,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,CAIT,Other Fuel Combustion ,N2O,0.402091806,0.357594542,0.313097277,0.268600012,0.224102748,0.179605483,0.172884719,0.166163955,0.159443191,0.152722427,0.146001663,0.145899118,0.145796574,0.145694029,0.145591485,0.14548894,0.399358766,0.653228592,0.907098418,1.160968244,1.41483807,1.925224228,2.435610385,2.945996543,3.4563827,3.966768858,4.072567479,4.178366099,4.28416472
AFG,CAIT,Fugitive Emissions ,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,CAIT,Total excluding LUCF,F-Gas,0.006939382,0.009610307,0.012281231,0.014952156,0.017623081,0.020294005,0.034084146,0.047874288,0.061664429,0.075454571,0.089244712,0.095245,0.101245289,0.107245577,0.113245865,0.119246154,0.142369929,0.165493705,0.188617481,0.211741257,0.234865033,0.299986264,0.365107495,0.430228726,0.495349957,0.560471188,0.713207477,0.865943765,1.018680054
AFG,CAIT,Total including LUCF,F-Gas,0.006939382,0.009610307,0.012281231,0.014952156,0.017623081,0.020294005,0.034084146,0.047874288,0.061664429,0.075454571,0.089244712,0.095245,0.101245289,0.107245577,0.113245865,0.119246154,0.142369929,0.165493705,0.188617481,0.211741257,0.234865033,0.299986264,0.365107495,0.430228726,0.495349957,0.560471188,0.713207477,0.865943765,1.018680054
AFG,CAIT,Industrial Processes ,F-Gas,0.006939382,0.009610307,0.012281231,0.014952156,0.017623081,0.020294005,0.034084146,0.047874288,0.061664429,0.075454571,0.089244712,0.095245,0.101245289,0.107245577,0.113245865,0.119246154,0.142369929,0.165493705,0.188617481,0.211741257,0.234865033,0.299986264,0.365107495,0.430228726,0.495349957,0.560471188,0.713207477,0.865943765,1.018680054
AGO,CAIT,Total excluding LUCF,All GHG,42.17563198,42.84202171,43.16710474,43.95447531,44.09943221,48.46444654,46.48088403,46.68040291,49.40753216,48.77389074,49.59312863,51.72589876,55.61435087,65.3724168,67.74362757,67.22888354,68.083692,74.85016439,76.08469188,79.68677383,84.12320355,86.0419503,84.92829174,88.40708572,88.98153993,90.61794731,91.24357505,87.18292609,79.72911463
AGO,CAIT,Total including LUCF,All GHG,65.17915506,65.84554479,66.17062782,66.95799839,67.10295529,71.46614042,73.3294672,71.74040826,79.62492944,77.64526739,73.28794394,95.48898284,100.5708184,111.2354518,114.9187422,115.1372411,114.9928044,121.8566538,123.3850059,128.3418163,133.3547153,133.5428572,133.2065209,135.4103489,136.4979103,139.08568,138.8544606,137.3171901,124.5919284
AGO,CAIT,Energy ,All GHG,11.39910047,11.96248742,12.14775436,13.06555464,13.21940826,17.6919152,18.51396094,19.03588668,18.87051908,20.42356482,20.36525055,21.66256249,23.24870109,28.49805303,30.64813829,30.24998356,33.7026219,38.19787357,40.99932523,44.40096357,47.24642857,48.00545471,48.57084085,50.79492032,52.24065312,52.57328259,52.60549002,47.78235244,44.02269487
AGO,CAIT,Industrial Processes ,All GHG,0.112110301,0.113990695,0.13387109,0.114651485,0.11343188,0.097292275,0.136697934,0.157983594,0.188269254,0.138114913,0.144600573,0.291388775,0.313136976,0.358185178,0.385433379,0.610581581,0.64696125,0.666140919,0.827720589,0.855100258,0.757879927,0.783306558,0.852633189,1.04825982,1.268686451,1.317813082,1.314880515,1.349947949,1.385015382
