code,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,OECD Asia Oceania,energy,MtCO2eq,996.5275307,1044.388006,1179.971717,1186.965228,1163.814244,1203.940066,1258.040573,1257.08987,1298.787135,1265.283978,1249.566063,1232.456043,1237.036562,1319.667574,1319.069413,1329.515668,1355.791946,1456.431227,1511.17546,1636.079415,1674.738752,1712.54787,1740.596819,1827.073086,1882.104936,1934.764324,1958.872449,1883.341683,1961.935927,2046.236688,2059.996836,2099.71295,2113.644122,2144.929365,2149.204562,2142.744724,2206.071077,2157.290411,2119.658481,2225.988002,2302.426432,2353.493667,2347.581335,2281.170784,2273.155373,2274.908583,2281.595453,2241.551648,2192.233375,2135.298118
AUT,Austria,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,energy,MtCO2eq,55.96870795,58.01044887,56.88185417,50.59505709,53.29553281,59.0171023,60.83225756,60.41333964,63.99380184,63.96020183,53.87580726,56.14631117,52.77106841,54.50541581,62.46138936,63.20475523,61.40097754,57.57783509,51.74766188,52.56520542,63.31217926,57.48150214,59.876985,63.81943277,60.62748103,74.11038741,64.47911172,60.47639627,57.7725504,53.85435506,55.48937262,55.13406606,60.67452267,55.2093308,51.75819585,59.60574671,54.74029721,51.64210219,49.61969083,49.92784167,44.45150142,39.41411275,41.04455612,36.80233016,34.66287477,36.11464732,33.82661906,33.7309601,30.20021736,27.25777572
EST,Estonia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,35.68518722,31.92298813,23.78594715,18.34301415,17.75769616,16.22560442,17.19799642,16.73829356,16.14487762,15.23537469,14.85037858,15.32291309,14.90924685,16.93612981,17.00013797,17.18580104,15.90040798,19.75883588,18.16302193,15.14141408,19.08044226,18.12016234,16.84659948,19.2971139,17.88511154,15.69473044,16.17879539,16.79619679,15.43559928,10.26636591,9.135603167
FIN,Finland,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,energy,MtCO2eq,433.3316154,448.7976327,484.8337612,466.4871557,432.8473591,472.9020794,458.685901,478.1139185,484.91758,465.0763448,416.6910771,398.976059,383.6762226,371.1587864,361.808413,351.4047317,344.9170488,342.9219476,358.6879614,354.6832983,380.499398,369.2763347,350.6790624,344.8622683,352.9727005,369.2181218,360.197548,381.8253162,375.7461041,373.6783558,377.3291486,371.3794579,377.3814293,377.9994635,380.7598349,371.0895942,362.2307692,358.277505,345.130545,349.4588452,335.7898854,340.079357,340.7140631,307.689882,313.5508833,316.5214244,320.4649564,309.2353433,302.6139564,266.2527251
DEU,Germany,energy,MtCO2eq,993.8628429,1017.767815,1068.770314,1042.716533,989.5454848,1045.945992,1030.282464,1069.085154,1117.314894,1066.21563,1033.651115,991.7095293,993.1544314,1012.976108,1021.791959,1023.948542,1015.937725,1007.793028,982.7970183,956.9458455,934.8400993,893.3370853,887.5033098,875.2822619,873.9667498,905.1528381,872.9866216,865.167848,833.1351314999999,830.1718811,849.5558236,835.8010787,838.8467317,822.3307448,804.6973073,817.2840227,785.3446554,792.2448427,737.6227856,776.726456,748.3268293,762.4081558,779.5245615,737.4696173,744.0990925,749.008576,733.5633658,708.8619041,658.3448428,598.8920368
GRC,Greece,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
